IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.146.249,2095,false,SIN,Asia Pacific,Singapore,224 ms,5573 kB/s
47.236.102.102,80,false,SIN,Asia Pacific,Singapore,247 ms,5571 kB/s
47.236.170.54,2082,false,SIN,Asia Pacific,Singapore,242 ms,5558 kB/s
47.236.9.152,2095,false,SIN,Asia Pacific,Singapore,246 ms,5557 kB/s
47.236.169.164,80,false,SIN,Asia Pacific,Singapore,227 ms,5549 kB/s
8.219.87.30,8080,false,SIN,Asia Pacific,Singapore,244 ms,5524 kB/s
47.236.168.17,2086,false,SIN,Asia Pacific,Singapore,235 ms,5514 kB/s
8.222.208.38,8880,false,SIN,Asia Pacific,Singapore,230 ms,5499 kB/s
8.222.136.247,2095,false,SIN,Asia Pacific,Singapore,219 ms,5494 kB/s
47.236.87.246,80,false,SIN,Asia Pacific,Singapore,233 ms,5486 kB/s
8.222.164.209,8080,false,SIN,Asia Pacific,Singapore,227 ms,5481 kB/s
47.236.202.91,8880,false,SIN,Asia Pacific,Singapore,224 ms,5479 kB/s
47.236.144.48,8880,false,SIN,Asia Pacific,Singapore,241 ms,5466 kB/s
8.222.208.38,80,false,SIN,Asia Pacific,Singapore,238 ms,5460 kB/s
8.219.87.30,2052,false,SIN,Asia Pacific,Singapore,216 ms,5456 kB/s
47.236.102.102,2086,false,SIN,Asia Pacific,Singapore,240 ms,5431 kB/s
47.236.166.131,2086,false,SIN,Asia Pacific,Singapore,224 ms,5411 kB/s
47.237.84.173,80,false,SIN,Asia Pacific,Singapore,220 ms,5407 kB/s
47.237.95.146,2086,false,SIN,Asia Pacific,Singapore,226 ms,5398 kB/s
47.236.123.133,2052,false,SIN,Asia Pacific,Singapore,246 ms,5396 kB/s
47.237.82.15,2095,false,SIN,Asia Pacific,Singapore,237 ms,5381 kB/s
47.236.205.188,8080,false,SIN,Asia Pacific,Singapore,237 ms,5376 kB/s
47.236.123.133,8880,false,SIN,Asia Pacific,Singapore,233 ms,5373 kB/s
47.236.146.249,8080,false,SIN,Asia Pacific,Singapore,229 ms,5372 kB/s
47.236.171.205,80,false,SIN,Asia Pacific,Singapore,238 ms,5340 kB/s
47.237.0.31,8880,false,SIN,Asia Pacific,Singapore,225 ms,5338 kB/s
